Subject Activity tBodyAcc-mean()-X tBodyAcc-mean()-Y tBodyAcc-mean()-Z tBodyAcc-std()-X tBodyAcc-std()-Y tBodyAcc-std()-Z tGravityAcc-mean()-X tGravityAcc-mean()-Y tGravityAcc-mean()-Z tGravityAcc-std()-X tGravityAcc-std()-Y tGravityAcc-std()-Z tBodyAccJerk-mean()-X tBodyAccJerk-mean()-Y tBodyAccJerk-mean()-Z tBodyAccJerk-std()-X tBodyAccJerk-std()-Y tBodyAccJerk-std()-Z tBodyGyro-mean()-X tBodyGyro-mean()-Y tBodyGyro-mean()-Z tBodyGyro-std()-X tBodyGyro-std()-Y tBodyGyro-std()-Z tBodyAccMag-mean() tBodyAccMag-std() tBodyAccJerkMag-mean() tBodyAccJerkMag-std() tBodyGyroJerkMag-mean() tBodyGyroJerkMag-std() fBodyAcc-mean()-X fBodyAcc-mean()-Y fBodyAcc-mean()-Z fBodyAcc-std()-X fBodyAcc-std()-Y fBodyAcc-std()-Z fBodyAccJerk-mean()-X fBodyAccJerk-mean()-Y fBodyAccJerk-mean()-Z fBodyAccJerk-std()-X fBodyAccJerk-std()-Y fBodyAccJerk-std()-Z fBodyGyro-mean()-X fBodyGyro-mean()-Y fBodyGyro-mean()-Z fBodyGyro-std()-X fBodyGyro-std()-Y fBodyGyro-std()-Z fBodyAccMag-mean() fBodyAccMag-std() fBodyBodyAccJerkMag-mean() fBodyBodyAccJerkMag-std() fBodyBodyGyroMag-mean() fBodyBodyGyroMag-std() angle(X,gravityMean) angle(Y,gravityMean) angle(Z,gravityMean)
      1            SITTING     0.2612376  -0.001308288   -0.10454418  -0.977229008  -0.922618642   -0.93958629 -2.011944e-01   0.118261864     0.8315099   0.204411593   0.332043703    -0.9684571  -0.497453950   0.301419345    0.07748252 -6.191028e-04 -3.367792e-03  -0.986430711  1.599291e-01  0.0165644229 -0.0453500565  -0.091924155  0.0629313812    -0.9772113  0.1177085462  0.0028479848  0.1532410190 -0.1715943465   0.166649814  -0.112973318 -0.0011822090 -0.0017742097   -0.97964124  -0.944084550   -0.95918489  -0.976412313   -0.98787939    -0.9991759  -0.986597023  -0.981579467   -0.98605309  -0.987492994    -0.9993441    -0.9997474   -0.97616146   -0.97583859   -0.95131554    -0.9779042   -0.99295836    -0.9995881  -0.373911049   -0.60812671  -0.480942151   -0.75059907   0.067698134 -6.488162e-02    -0.5912475
      2            SITTING     0.2770874  -0.015687994   -0.10921827  -0.986822280  -0.950704499   -0.95982817 -2.681537e-01   0.256453040     0.9404773  -0.105630024   0.198726769    -0.9799888  -0.486664064   0.538687012    0.07225644  1.169545e-02  7.605469e-03  -0.988055854  3.804892e-02  0.0525305807 -0.0454706620  -0.059928680  0.0412277462    -0.9857420  0.1926362369 -0.2531337827  0.1651774005 -0.1117612925   0.088433852  -0.046539579 -0.0574888258 -0.1849176206   -0.98580384  -0.957343498   -0.97016217  -0.987362090   -0.99590665    -0.9994305  -0.987848794  -0.977139703   -0.98512905  -0.989459107    -0.9996876    -0.9997000   -0.98262139   -0.98210092   -0.95981482    -0.9868085   -0.99820145    -0.9996026  -0.332265960   -0.61253512  -0.568363489   -0.83704697   0.020973170 -7.620420e-02    -0.7744361
      3            SITTING     0.2571976  -0.003502998   -0.09835792  -0.971010121  -0.856617812   -0.87511018 -1.958261e-01   0.307555040     0.9010990   0.127303379   0.139020582    -0.9573245  -0.214421031   0.415605488    0.07260984  2.725291e-03 -4.233484e-03  -0.974467390 -3.547060e-02  0.0239863636 -0.0385365205  -0.075241003  0.0940113976    -0.9654348  0.1298550491  0.0170525294  0.0904299821 -0.0942158448   0.061990646  -0.061171251 -0.0784676219 -0.1281792602   -0.97015444  -0.891907751   -0.91798793  -0.971605878   -0.96579132    -0.9983047  -0.974950363  -0.954170151   -0.97084567  -0.976283535    -0.9983366    -0.9993082   -0.95755064   -0.95617355   -0.93496796    -0.9680131   -0.99073829    -0.9992066  -0.199391691   -0.46370497  -0.445595575   -0.72405757   0.064370666 -2.523555e-02    -0.7598119
      4            SITTING     0.2715383  -0.007163065   -0.10587460  -0.980309931  -0.890223981   -0.93220301 -3.957453e-01   0.169306118     0.8693030   0.211622540   0.110120481    -0.9814053  -0.554197337   0.122244177    0.07845002 -1.085822e-02 -1.215000e-02  -0.976742196  1.260307e-01  0.0812252162 -0.0494435116  -0.089430061  0.1011503348    -0.9701318  0.2606864558  0.0482202703  0.0629819105 -0.1448443998   0.017154509   0.021970773 -0.0575150010 -0.1770190740   -0.97746250  -0.905782932   -0.95178374  -0.981908189   -0.98945015    -0.9989789  -0.976845713  -0.944298391   -0.97515491  -0.978776912    -0.9991372    -0.9994306   -0.96058964   -0.96758365   -0.93377689    -0.9733331   -0.99430916    -0.9992173  -0.188286308   -0.47779046  -0.313388056   -0.63082016  -0.032687280 -5.957472e-02    -0.7102762
      5            SITTING     0.2736941  -0.009900835   -0.10854030  -0.980945022  -0.904335121   -0.92609474 -3.458195e-01   0.096492505     0.8807314   0.168445524   0.143006858    -0.9831375  -0.499845135   0.241263749    0.07495774 -2.787733e-03  3.386096e-03  -0.975204850 -8.679683e-02 -0.0276751389 -0.0422355210  -0.083548408  0.0823934452    -0.9662255  0.4122352338  0.2391883483  0.1069826995 -0.1011273370   0.139347010  -0.092823980 -0.1410066571  0.0442823249   -0.97745081  -0.921434736   -0.94606422  -0.982590842   -0.99267032    -0.9991509  -0.976024951  -0.954237490   -0.96950133  -0.976530547    -0.9987628    -0.9994144   -0.95711725   -0.95546036   -0.93800343    -0.9693904   -0.99621950    -0.9990930  -0.248855127   -0.50461476  -0.409435566   -0.70845662  -0.017875219 -8.859339e-02    -0.7301017
      6            SITTING     0.2767785  -0.014591162   -0.11012773  -0.980164934  -0.923682131   -0.92579710 -2.451666e-01   0.018281062     0.9336929   0.068262866   0.069521966    -0.9888724  -0.116305036   0.157669552    0.07547216  2.556498e-06  6.237278e-03  -0.969929476 -1.005542e-01  0.0098671256 -0.0372442283  -0.089908330  0.0854346006    -0.9573677  0.0479702585 -0.0971872064  0.0921411722 -0.1178106891   0.170534779  -0.167450336 -0.2704520885 -0.0109968010   -0.97535145  -0.928264365   -0.93579812  -0.982451285   -0.99411803    -0.9987222  -0.971037480  -0.947070821   -0.95419979  -0.971488767    -0.9967612    -0.9988482   -0.93967140   -0.94385739   -0.93476490    -0.9634070   -0.99561461    -0.9989308  -0.378461415   -0.65570801  -0.377312089   -0.70296450   0.047927245 -3.514760e-02    -0.7847724
      7            SITTING     0.2846746  -0.014610976   -0.12246460  -0.972668375  -0.909454699   -0.85653294 -3.538113e-01   0.421619252     0.9691478   0.006088466   0.064963625    -0.9570824  -0.423067255   0.560435505    0.06685198  1.168634e-02  1.620041e-02  -0.982158098 -4.675230e-02  0.1741037196 -0.0496379720  -0.033611965  0.0259476655    -0.9418710  0.1092418681 -0.2042794746  0.0713443923 -0.0881430955   0.009639607  -0.005887941 -0.0368764995 -0.0283129737   -0.97269713  -0.931490634   -0.90467534  -0.972879966   -0.96038039    -0.9972203  -0.982037244  -0.969423613   -0.96850350  -0.984026344    -0.9984587    -0.9993732   -0.94363176   -0.95667806   -0.94741993    -0.9427264   -0.99336454    -0.9995184  -0.271862599   -0.53972210  -0.453592196   -0.75272361  -0.018369851 -3.275755e-02    -0.9306543
      8            SITTING     0.2674915  -0.006725506   -0.10446105  -0.979026152  -0.927331997   -0.93955303 -3.070790e-01   0.224114402     0.8324539   0.240095117   0.263895186    -0.9667580  -0.643651696   0.534318770    0.07867138 -6.575163e-03 -1.068089e-02  -0.985188754  1.993412e-01  0.0052342756 -0.0547396987  -0.095508924  0.0716048810    -0.9845241  0.0165306434 -0.1016290192  0.1527816898 -0.1549474371   0.002940785   0.094151027 -0.0849286789 -0.1646989974   -0.98114291  -0.944219718   -0.95943628  -0.978256731   -0.98979505    -0.9992307  -0.984977271  -0.980221105   -0.98299531  -0.986913611    -0.9994682    -0.9996839   -0.98220031   -0.97658989   -0.96179868    -0.9853393   -0.99815798    -0.9995520  -0.269247147   -0.52848482  -0.440080602   -0.72271404   0.012124446 -3.807699e-02    -0.6160804
      9            SITTING     0.2483267  -0.027016777   -0.07537847  -0.957227791  -0.875141405   -0.83200187 -3.233239e-01  -0.100636305     0.9163245  -0.041425823   0.085263099    -0.9552804  -0.319147065  -0.091850808    0.07700501  9.817397e-03 -8.674673e-03  -0.964535856 -1.583287e-02 -0.0872141293 -0.0423288768  -0.041427118  0.0807919286    -0.9590200  0.1659239820  0.0188184165  0.0077127233  0.0562231956   0.066523233   0.006209936 -0.0394938735 -0.1986989090   -0.95941359  -0.911683219   -0.89220134  -0.956903459   -0.94742016    -0.9976781  -0.965596240  -0.958007391   -0.95752698  -0.966660404    -0.9969776    -0.9991917   -0.95031524   -0.93969301   -0.94031231    -0.9618360   -0.99202263    -0.9994899  -0.276028845   -0.58487678  -0.314648298   -0.63044778   0.019833665 -9.444296e-02    -0.8064138
     10            SITTING     0.2706121  -0.015042682   -0.10425324  -0.982901826  -0.917979530   -0.96782698 -1.666370e-01  -0.065991068     0.7918872  -0.041260775   0.202534573    -0.9731284  -0.079992095  -0.057329253    0.07753725  8.978755e-03 -4.995664e-03  -0.988946414  1.435728e-01 -0.1282504120 -0.0432432177  -0.067999360  0.0745958869    -0.9888731 -0.0761149949 -0.0002115488  0.2295283705 -0.2261934730   0.155575481  -0.081258029 -0.0013648287 -0.2424984255   -0.98494314  -0.940450200   -0.97464465  -0.982242428   -0.99705763    -0.9995702  -0.989365014  -0.980962856   -0.98605677  -0.989550917    -0.9996273    -0.9997508   -0.98647736   -0.98617922   -0.96539547    -0.9897124   -0.99778626    -0.9996265  -0.414298502   -0.64065644  -0.530006243   -0.78002509   0.003581914 -5.397526e-02    -0.5425188
     11            SITTING     0.2765902  -0.014919562   -0.11284022  -0.982796562  -0.921402118   -0.96837018 -7.390636e-02  -0.139938512     0.8719638   0.213716306   0.188531696    -0.9880693   0.012065368  -0.166800729    0.07617773 -2.138386e-04  8.334008e-03  -0.980335164  3.921511e-02 -0.1628778309 -0.0399984916  -0.075528448  0.0761739419    -0.9881649  0.1439113011  0.2163865887  0.1431138285 -0.1805515867   0.109463882  -0.010822275 -0.0229253993 -0.2356329713   -0.98148145  -0.934503183   -0.97285511  -0.983389810   -0.99808629    -0.9995209  -0.980831750  -0.967454618   -0.98112486  -0.981607942    -0.9994881    -0.9995961   -0.98510688   -0.98263664   -0.95445382    -0.9891895   -0.99746805    -0.9996080  -0.304015197   -0.54444069  -0.286579235   -0.59553060  -0.003980030 -2.541489e-02    -0.6634599
     12            SITTING     0.2750072  -0.015789299   -0.10630723  -0.982568782  -0.928581240   -0.93966189 -3.297174e-01   0.234654748     0.9262290   0.083050901   0.088564070    -0.9852036  -0.367342126   0.169013714    0.07712777  1.059905e-02 -2.045760e-03  -0.976494201 -1.022908e-02  0.0214112443 -0.0424159183  -0.075198040  0.0728462158    -0.9744254  0.0643044650 -0.0854798621  0.0808973338 -0.0790200540   0.119420486  -0.017309009 -0.0439418213 -0.1482903921   -0.97966614  -0.942768017   -0.95462663  -0.983999477   -0.99595372    -0.9994329  -0.977109887  -0.964236191   -0.97555156  -0.977980349    -0.9991506    -0.9995573   -0.96852899   -0.96372525   -0.95571818    -0.9763399   -0.99787981    -0.9996885  -0.281758137   -0.58264062  -0.410410737   -0.71617275   0.061650717 -1.667717e-02    -0.8263224
     13            SITTING     0.2743285  -0.005877329   -0.09724651  -0.989546275  -0.938967742   -0.93864122 -6.242337e-02   0.292929809     0.9255765   0.101769752   0.075777386    -0.9813791  -0.194047002   0.376836929    0.07528659 -1.123441e-03 -2.323972e-02  -0.992827264  1.911293e-01  0.0934997626 -0.0355124857  -0.090268740  0.0823432027    -0.9858443  0.1958901099 -0.1479739531  0.1903948017 -0.1457304727   0.125046931  -0.085438254  0.0035305955 -0.0539273045   -0.99013548  -0.959673916   -0.95618306  -0.989410583   -0.98094118    -0.9981705  -0.992678213  -0.983914102   -0.98526120  -0.993682170    -0.9996023    -0.9997544   -0.98321820   -0.98245605   -0.96838442    -0.9867147   -0.99863413    -0.9996862  -0.333919464   -0.58300543  -0.597419250   -0.84930111   0.030230910 -1.992194e-02    -0.7887768
     14            SITTING     0.2799906  -0.008705655   -0.10040149  -0.976302248  -0.914935704   -0.92277484  2.568606e-02   0.250666946     0.9390388  -0.036453396  -0.094597053    -0.9762804   0.178306866   0.441489574    0.07418788 -4.361860e-03 -1.057445e-02  -0.980890655  6.808150e-02  0.1147295754 -0.0440403327  -0.071347828  0.0928523607    -0.9808300  0.0166445613 -0.0452428743  0.0772626137 -0.0224393074   0.092000442  -0.013849620  0.0429877619 -0.3212034805   -0.97645661  -0.932644766   -0.94412608  -0.976303057   -0.98748782    -0.9990346  -0.981566649  -0.968951770   -0.97275197  -0.981920831    -0.9988203    -0.9995587   -0.97857712   -0.96980673   -0.95702086    -0.9815731   -0.99694325    -0.9997143  -0.356560888   -0.64140200  -0.464675063   -0.75473628   0.003235953 -5.958057e-02    -0.8044094
     15            SITTING     0.2729034  -0.011718847   -0.11366125  -0.987084356  -0.922407163   -0.94933803 -9.039763e-02   0.169784152     0.8903643   0.210849305   0.002815660    -0.9826209  -0.131040123   0.271983559    0.07847928 -8.984376e-03 -2.372075e-03  -0.988162334  1.805277e-01 -0.0821781622 -0.0377111130  -0.080342876  0.0951978084    -0.9882041 -0.0219231731 -0.1001674064  0.1750000300 -0.1531824551   0.179130073  -0.114322490 -0.0312527616 -0.1568508766   -0.98661961  -0.938926431   -0.96322700  -0.987384779   -0.99263046    -0.9992742  -0.988106102  -0.978159013   -0.98490842  -0.989314360    -0.9996345    -0.9997397   -0.98615258   -0.97920172   -0.96673152    -0.9888819   -0.99830096    -0.9997888  -0.369630350   -0.62446881  -0.447346365   -0.74234630   0.027477776 -8.046475e-03    -0.7347558
     16            SITTING     0.2807686  -0.010249794   -0.08914040  -0.986825605  -0.951607872   -0.93967225 -1.114322e-01   0.134807723     0.9424574  -0.086588254   0.089268220    -0.9801582  -0.192407740   0.251550886    0.07343467  9.856429e-03 -1.150306e-02  -0.990861135  1.271513e-01 -0.0436123978 -0.0412014042  -0.057452543  0.0795736310    -0.9810374 -0.1803627996 -0.1328900023  0.1587034169 -0.1975436248   0.146267119  -0.084097403 -0.0673075042 -0.1581103744   -0.98704383  -0.961456686   -0.95955223  -0.986892418   -0.98662838    -0.9991957  -0.990964251  -0.981752167   -0.98117804  -0.991567868    -0.9991108    -0.9996433   -0.97863286   -0.96679600   -0.96005826    -0.9820579   -0.99410091    -0.9988761  -0.449327301   -0.67314945  -0.531727932   -0.80319893   0.007787348 -2.317771e-02    -0.7997193
     17            SITTING     0.2773570  -0.014156274   -0.11362409  -0.994443905  -0.961858630   -0.96572920  7.416155e-02   0.269356561     0.9448837  -0.002814673  -0.135803882    -0.9901966   0.301889976   0.663478224    0.07507099  5.609710e-03 -1.554484e-03  -0.994340603  2.290877e-01  0.0019024380 -0.0425491590  -0.066924593  0.0860053803    -0.9896383 -0.0287880644  0.0089140094  0.0999800000 -0.1176390162   0.222567781  -0.186410699 -0.0240193919 -0.1790143709   -0.99396938  -0.969927989   -0.97484160  -0.994657314   -0.99681588    -0.9996212  -0.994542621  -0.988327420   -0.98882807  -0.994613162    -0.9997527    -0.9998068   -0.98841107   -0.98879398   -0.98161710    -0.9900413   -0.99928639    -0.9998868  -0.226351536   -0.46380441  -0.588856019   -0.83989856   0.024542789 -5.715303e-02    -0.8144541
     18            SITTING     0.2772700  -0.012869128   -0.11190478  -0.994347989  -0.974928131   -0.97757272 -1.028305e-01   0.074420532     0.9098165   0.129886476   0.161877418    -0.9940438  -0.351960534   0.217180891    0.07662289  6.945603e-03  2.787570e-03  -0.991624662  2.012909e-01 -0.0293430632 -0.0333057034  -0.068579634  0.0848140512    -0.9919570 -0.0527164512  0.0589511510  0.2043823069 -0.2221834443   0.223581486  -0.188059265 -0.0204922419 -0.1450023975   -0.99314492  -0.976538530   -0.98299644  -0.994906566   -0.99884340    -0.9997973  -0.991924710  -0.983642392   -0.98868967  -0.992039061    -0.9997377    -0.9998202   -0.98996150   -0.98870270   -0.98302739    -0.9925754   -0.99931817    -0.9998971  -0.528208461   -0.75342614  -0.623126814   -0.86032839  -0.040857838 -4.849639e-02    -0.7407864
     19            SITTING     0.2738303  -0.016739260   -0.10870765  -0.976357663  -0.950388944   -0.95192962 -6.316556e-01   0.306245610     0.5813715   0.360343535   0.489126595    -0.9693550  -0.806746340   0.457199786    0.07537471  1.379210e-02  1.731068e-03  -0.987043285  6.684174e-02 -0.0493324896 -0.0214151280  -0.052020789  0.0968980718    -0.9846253  0.2602367367 -0.0860812658  0.1009483081 -0.0791755718  -0.003470709   0.048949411 -0.0366875697 -0.1600642460   -0.97923803  -0.960763182   -0.96633509  -0.975204245   -0.99652459    -0.9995644  -0.986775590  -0.979141572   -0.98398048  -0.988576991    -0.9996037    -0.9997349   -0.98174366   -0.96818868   -0.96823578    -0.9855760   -0.99889085    -0.9998312  -0.164071277   -0.46105095  -0.477501007   -0.75506468  -0.000867430  4.411864e-02    -0.3045485
     20            SITTING     0.2780454  -0.014722931   -0.10836963  -0.983081859  -0.936122705   -0.92910640 -2.427369e-01   0.114110806     0.9244545   0.073338541   0.151679135    -0.9858290  -0.309390130   0.035951624    0.07465684  5.974303e-03  1.601349e-03  -0.982078229  1.093738e-01  0.1490782782 -0.0364059290  -0.065068935  0.0642882138    -0.9763090 -0.0087760737 -0.1486519816  0.1624641438 -0.1388142568   0.075066168   0.003905289 -0.0269312979 -0.1643636251   -0.98120306  -0.945198619   -0.94759746  -0.983978375   -0.99105984    -0.9991493  -0.982243603  -0.971158288   -0.97321146  -0.983565761    -0.9986644    -0.9994825   -0.96991328   -0.96464307   -0.95096336    -0.9784335   -0.99681329    -0.9995795  -0.328009656   -0.59697040  -0.468793388   -0.75573276  -0.005995744 -2.881328e-02    -0.7642071
     21            SITTING     0.2775396  -0.014400971   -0.11205789  -0.991777287  -0.966877561   -0.95956786  4.929830e-02   0.067753844     0.9400314   0.021520671  -0.056776606    -0.9929364   0.228297981   0.058797413    0.07571098  1.210201e-02 -1.753522e-04  -0.989439392  1.597501e-01  0.0840648085 -0.0198712821  -0.065307750  0.0831326043    -0.9884105  0.0086783235 -0.1781617683  0.2415014097 -0.2437661920   0.123147989  -0.096512263 -0.0671640359 -0.1536315874   -0.99061023  -0.968060947   -0.97085934  -0.992375229   -0.99589460    -0.9996042  -0.989759187  -0.979180439   -0.98343432  -0.990027822    -0.9995464    -0.9997403   -0.98489356   -0.97983094   -0.97683973    -0.9895593   -0.99933785    -0.9998337  -0.507079963   -0.75449562  -0.567862338   -0.84192420   0.003991338  5.030972e-02    -0.8091466
     22            SITTING     0.2735838  -0.012346845   -0.10582737  -0.978466824  -0.928059134   -0.91756485 -6.137772e-01   0.350645361     0.8393059   0.208553884   0.315551492    -0.9720100  -0.849728422   0.672223756    0.08076873 -8.427151e-04 -1.268525e-02  -0.981664149  1.002223e-01  0.0589858767 -0.0360430675  -0.079361744  0.0804426775    -0.9810992  0.1023034525 -0.2488376049  0.1074413241 -0.1011115780   0.051629721   0.020153056 -0.0926091678 -0.0293385732   -0.97850537  -0.939546008   -0.94663531  -0.978623190   -0.98933368    -0.9991617  -0.980944506  -0.963129473   -0.97533072  -0.984299609    -0.9990315    -0.9995137   -0.97726673   -0.95916175   -0.94836705    -0.9823733   -0.99673950    -0.9992699  -0.141595147   -0.42496585  -0.430685879   -0.73196583   0.057050292 -8.743915e-03    -0.6064941
     23            SITTING     0.2733513  -0.013394502   -0.10380868  -0.987607637  -0.934933559   -0.90558439 -5.519248e-02   0.289862510     0.9365092   0.121751062   0.063011156    -0.9845367  -0.011137853   0.496315063    0.07700224  1.013514e-02 -1.488234e-03  -0.984561804  3.548509e-02  0.2369507576 -0.0472583464  -0.068432555  0.0645673209    -0.9803637 -0.1171467981 -0.3711190476  0.1790418330 -0.1742320247   0.244023972  -0.161153150  0.1043575927 -0.0144938801   -0.98632567  -0.953460406   -0.94203117  -0.988345258   -0.98030631    -0.9990054  -0.984550864  -0.978136218   -0.97265623  -0.986019630    -0.9989446    -0.9993427   -0.97714999   -0.95792029   -0.96542883    -0.9815232   -0.99672931    -0.9996947  -0.378879881   -0.63696124  -0.497469220   -0.79697950   0.036077740 -3.860596e-02    -0.7980668
     24            SITTING     0.2734757  -0.013125510   -0.10304106  -0.990593767  -0.956255962   -0.95705611 -3.616372e-01   0.218556314     0.9196376   0.182254652   0.109559621    -0.9896601  -0.465880860   0.336499322    0.07633185  4.767026e-03 -1.133002e-03  -0.988564382  1.683258e-05  0.0234093448 -0.0356229620  -0.075013270  0.0800440231    -0.9881116  0.0916748130 -0.1332010773  0.1260534749 -0.1175396924   0.116314675  -0.035926113 -0.0217013333 -0.2129780168   -0.98952951  -0.962773200   -0.96699178  -0.991100005   -0.99697409    -0.9995468  -0.988857403  -0.979228238   -0.98197130  -0.989288808    -0.9995117    -0.9996863   -0.98567652   -0.98120018   -0.97468689    -0.9888916   -0.99870498    -0.9998441  -0.385391535   -0.66057828  -0.553225816   -0.80266635  -0.001063012 -3.704403e-02    -0.7652098
     25            SITTING     0.2785415  -0.014769681   -0.10916044  -0.991892829  -0.947457617   -0.96513955 -2.948469e-01   0.245207707     0.8656861   0.208287142   0.167140956    -0.9888800  -0.426756830   0.442634181    0.07520870  4.854159e-03  2.107608e-03  -0.992278622  6.651239e-02  0.0013833964 -0.0352052091  -0.074800271  0.0852783893    -0.9899076  0.1121573128 -0.1296694859  0.1961765148 -0.1894719385   0.131557091  -0.057664691  0.0148034767 -0.2046841556   -0.99140550  -0.959117259   -0.97477613  -0.992124279   -0.99732009    -0.9996808  -0.992478846  -0.982957003   -0.98632640  -0.992750110    -0.9996783    -0.9997788   -0.98800255   -0.98382780   -0.97580589    -0.9905500   -0.99862922    -0.9998198  -0.437871194   -0.69439349  -0.517321141   -0.78541518   0.042691187 -5.046201e-02    -0.7016920
     26            SITTING     0.2582435  -0.007133645   -0.09744487  -0.979768988  -0.940798966   -0.95000441 -4.625048e-01   0.376361985     0.7829556   0.223105562   0.314387627    -0.9650829  -0.766635161   0.495307796    0.07644432  6.922390e-03 -7.802380e-03  -0.992258395  1.280222e-01  0.0457853427 -0.0370217450  -0.084064850  0.0711109472    -0.9910277  0.1286162904 -0.1231453611  0.0780677368 -0.0463234435   0.094884004  -0.017810373 -0.0228679399 -0.2044014460   -0.98257955  -0.954299411   -0.96751915  -0.978755177   -0.99271422    -0.9994771  -0.992025427  -0.985862886   -0.98798998  -0.993299861    -0.9997452    -0.9997935   -0.99014488   -0.98174079   -0.97042369    -0.9913184   -0.99786651    -0.9997660  -0.253368152   -0.51044953  -0.602431834   -0.85193185  -0.001430556 -5.064272e-02    -0.5648011
     27            SITTING     0.2739413  -0.015526980   -0.10552191  -0.988580108  -0.971579126   -0.96585874 -3.878109e-01   0.279720996     0.8394647   0.212947021   0.276417431    -0.9824457  -0.757924607   0.657064690    0.07790390  4.670724e-03 -6.112854e-03  -0.990658098  2.045605e-02  0.0659501032 -0.0371830822  -0.079734565  0.0833752812    -0.9884924  0.1814473187 -0.0523731964  0.1855396951 -0.2081571263   0.129472179  -0.078534262 -0.0160095334 -0.1890638941   -0.98868211  -0.974057856   -0.97466582  -0.988659196   -0.99646262    -0.9995673  -0.990839607  -0.985238584   -0.98708772  -0.991292271    -0.9997033    -0.9997596   -0.98720790   -0.98414112   -0.97684813    -0.9889846   -0.99907093    -0.9998050  -0.421691222   -0.66638632  -0.539838346   -0.80891134   0.021802812 -5.204814e-02    -0.6303092
     28            SITTING     0.2769776  -0.018540444   -0.11151794  -0.983272807  -0.939905245   -0.93666725 -3.035458e-01   0.122099868     0.9073313  -0.112596728   0.135402567    -0.9891325  -0.291617089   0.148426358    0.07686716  1.483382e-02  2.578540e-04  -0.976286679 -5.995962e-02  0.1391241760 -0.0339018030  -0.067394385  0.0870254014    -0.9796720  0.1607421724 -0.0978371068  0.1082909634 -0.0898221034   0.105309674  -0.045228524 -0.0593173114 -0.1092813804   -0.97982014  -0.946351650   -0.95222679  -0.984956709   -0.99513292    -0.9993803  -0.976891805  -0.963054247   -0.97293955  -0.977786782    -0.9990176    -0.9994957   -0.97372433   -0.96311763   -0.95418028    -0.9816151   -0.99818680    -0.9995882  -0.302277323   -0.57795361  -0.436709809   -0.74184986  -0.004474543 -1.535634e-02    -0.6893622
     29            SITTING     0.2771800  -0.016630680   -0.11041182  -0.990745020  -0.963222498   -0.96806388 -3.339517e-01   0.350809540     0.8915638   0.155659457   0.286256064    -0.9846792  -0.638622397   0.469276652    0.07454381  5.985314e-03  3.167701e-03  -0.993525560  2.335268e-01  0.0247253259 -0.0379271112  -0.075579767  0.0580495969    -0.9901787  0.2167998006 -0.2060930879  0.2144390010 -0.2251280382   0.133548302  -0.067261475 -0.0224294263 -0.1998334941   -0.99109396  -0.969609502   -0.97562303  -0.990617521   -0.99684913    -0.9996115  -0.993445760  -0.983883193   -0.98847024  -0.994220175    -0.9997595    -0.9998042   -0.98839357   -0.99032925   -0.97393359    -0.9907278   -0.99857304    -0.9997547  -0.477728122   -0.72591682  -0.543070961   -0.80212520   0.001355333 -5.357197e-02    -0.6710999
     30            SITTING     0.2683361  -0.008047313   -0.09951545  -0.983622744  -0.937857001   -0.95065404 -3.282869e-01   0.166701770     0.8254738   0.114588393   0.344766020    -0.9783647  -0.725300374   0.238840708    0.07600577  9.756925e-03 -2.781618e-03  -0.988864577  1.908940e-01  0.0120929275 -0.0358426482  -0.074353558  0.0702002598    -0.9881327 -0.0677944704 -0.1483679949  0.1538987104 -0.0776656776   0.126036459   0.005521055  0.0402878165 -0.2685021074   -0.98500878  -0.954076042   -0.96627409  -0.983231005   -0.99425697    -0.9995478  -0.988775436  -0.980405717   -0.98597832  -0.990017565    -0.9995941    -0.9997915   -0.98703463   -0.98200588   -0.96117711    -0.9884848   -0.99689602    -0.9996351  -0.403022641   -0.67106144  -0.578391596   -0.83070929  -0.007599885 -2.085554e-02    -0.5963054
      1           STANDING     0.2789176  -0.016137590   -0.11060182  -0.995759902  -0.973190056   -0.97977588 -5.432774e-03   0.288310476     0.9429520  -0.272983832   0.013490582    -0.9937630   0.137849630   0.469858260    0.07537665  7.975731e-03 -3.685250e-03  -0.994604542  1.560326e-01  0.0744326620 -0.0239877348  -0.059397221  0.0748007510    -0.9871919 -0.0374821000 -0.2281654763  0.2403495380 -0.2481420223   0.163825722  -0.036728636  0.0021919496 -0.2857778426   -0.99524993  -0.977070848   -0.98529710  -0.996028345   -0.99909311    -0.9998173  -0.994630797  -0.985418705   -0.99075217  -0.995073759    -0.9998329    -0.9998401   -0.98638679   -0.98898446   -0.98077312    -0.9874971   -0.99945561    -0.9998959  -0.473943369   -0.71390333  -0.568218011   -0.83274830  -0.033793838 -2.792293e-02    -0.7434079
      2           STANDING     0.2779115  -0.018420827   -0.10590854  -0.987271889  -0.957304989   -0.94974185  6.652747e-02   0.384642653     0.8969286  -0.370062697   0.129747161    -0.9866858   0.334620621   0.611669641    0.07475886  1.032918e-02 -8.371588e-03  -0.981085716  1.728418e-01  0.1811809029 -0.0238623876  -0.082039658  0.0878351695    -0.9729986  0.0278048061 -0.3609097800  0.1844504016 -0.2014341031   0.133825672  -0.059879787 -0.0148559995 -0.2125549937   -0.98394674  -0.959871697   -0.96247120  -0.989056470   -0.99527127    -0.9994125  -0.980973242  -0.970851338   -0.97977515  -0.983007924    -0.9993960    -0.9995884   -0.96703711   -0.97257615   -0.96062770    -0.9749881   -0.99822954    -0.9989968  -0.333412170   -0.59215211  -0.447901013   -0.73716594  -0.015103516  1.123246e-01    -0.6271801
